SPX (S&P 500 INDEX),2548.18,+3.45,
Oct 10 2017 @ 15:02 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
17 Oct 1500.00 (SPXW1711J1500),0.0,0.0,1044.50,1053.60,0,0,17 Oct 1500.00 (SPXW1711V1500),0.05,0.0,0.0,0.05,0,10,
17 Oct 1500.00 (SPXW1711J1500-E),0.0,0.0,1044.50,1053.60,0,0,17 Oct 1500.00 (SPXW1711V1500-E),0.05,0.0,0.0,0.05,0,10,
17 Oct 1600.00 (SPXW1711J1600),0.0,0.0,944.50,953.60,0,0,17 Oct 1600.00 (SPXW1711V1600),0.05,0.0,0.0,0.05,0,10,
17 Oct 1600.00 (SPXW1711J1600-E),0.0,0.0,944.50,953.60,0,0,17 Oct 1600.00 (SPXW1711V1600-E),0.05,0.0,0.0,0.05,0,10,
17 Oct 1650.00 (SPXW1711J1650),0.0,0.0,894.50,903.60,0,0,17 Oct 1650.00 (SPXW1711V1650),0.0,0.0,0.0,0.05,0,0,
17 Oct 1650.00 (SPXW1711J1650-E),0.0,0.0,894.50,903.60,0,0,17 Oct 1650.00 (SPXW1711V1650-E),0.0,0.0,0.0,0.05,0,0,
17 Oct 1700.00 (SPXW1711J1700),0.0,0.0,844.70,853.80,0,0,17 Oct 1700.00 (SPXW1711V1700),0.10,0.0,0.0,0.05,0,3924,
17 Oct 1700.00 (SPXW1711J1700-E),0.0,0.0,844.70,853.80,0,0,17 Oct 1700.00 (SPXW1711V1700-E),0.10,0.0,0.0,0.05,0,3924,
17 Oct 1750.00 (SPXW1711J1750),0.0,0.0,794.70,803.80,0,0,17 Oct 1750.00 (SPXW1711V1750),0.10,0.0,0.0,0.05,0,4742,
17 Oct 1750.00 (SPXW1711J1750-E),0.0,0.0,794.70,803.80,0,0,17 Oct 1750.00 (SPXW1711V1750-E),0.10,0.0,0.0,0.05,0,4742,
17 Oct 1800.00 (SPXW1711J1800),0.0,0.0,744.70,753.80,0,0,17 Oct 1800.00 (SPXW1711V1800),0.0,0.0,0.0,0.05,0,0,
17 Oct 1800.00 (SPXW1711J1800-E),0.0,0.0,744.70,753.80,0,0,17 Oct 1800.00 (SPXW1711V1800-E),0.0,0.0,0.0,0.05,0,0,
17 Oct 1850.00 (SPXW1711J1850),0.0,0.0,694.70,703.80,0,0,17 Oct 1850.00 (SPXW1711V1850),0.27,0.0,0.0,0.05,0,2,
17 Oct 1850.00 (SPXW1711J1850-E),0.0,0.0,694.70,703.80,0,0,17 Oct 1850.00 (SPXW1711V1850-E),0.27,0.0,0.0,0.05,0,2,
17 Oct 1900.00 (SPXW1711J1900),0.0,0.0,643.80,652.90,0,0,17 Oct 1900.00 (SPXW1711V1900),0.55,0.0,0.0,0.05,0,2,
17 Oct 1900.00 (SPXW1711J1900-E),0.0,0.0,643.80,652.90,0,0,17 Oct 1900.00 (SPXW1711V1900-E),0.55,0.0,0.0,0.05,0,2,
17 Oct 1950.00 (SPXW1711J1950),0.0,0.0,593.80,602.90,0,0,17 Oct 1950.00 (SPXW1711V1950),0.05,0.0,0.0,0.05,0,2106,
17 Oct 1950.00 (SPXW1711J1950-E),0.0,0.0,593.80,602.90,0,0,17 Oct 1950.00 (SPXW1711V1950-E),0.05,0.0,0.0,0.05,0,2106,
17 Oct 2000.00 (SPXW1711J2000),0.0,0.0,544.50,553.60,0,0,17 Oct 2000.00 (SPXW1711V2000),0.05,0.0,0.0,0.05,0,3191,
17 Oct 2000.00 (SPXW1711J2000-E),0.0,0.0,544.50,553.60,0,0,17 Oct 2000.00 (SPXW1711V2000-E),0.05,0.0,0.0,0.05,0,3191,
17 Oct 2050.00 (SPXW1711J2050),0.0,0.0,494.50,503.40,0,0,17 Oct 2050.00 (SPXW1711V2050),0.04,0.0,0.0,0.05,0,3004,
17 Oct 2050.00 (SPXW1711J2050-E),0.0,0.0,494.50,503.40,0,0,17 Oct 2050.00 (SPXW1711V2050-E),0.04,0.0,0.0,0.05,0,3004,
17 Oct 2100.00 (SPXW1711J2100),0.0,0.0,443.80,452.90,0,0,17 Oct 2100.00 (SPXW1711V2100),0.05,0.0,0.0,0.05,0,1471,
17 Oct 2100.00 (SPXW1711J2100-E),0.0,0.0,443.80,452.90,0,0,17 Oct 2100.00 (SPXW1711V2100-E),0.05,0.0,0.0,0.05,0,1471,
17 Oct 2150.00 (SPXW1711J2150),0.0,0.0,393.80,402.90,0,0,17 Oct 2150.00 (SPXW1711V2150),0.05,0.0,0.0,0.05,0,191,
17 Oct 2150.00 (SPXW1711J2150-E),0.0,0.0,393.80,402.90,0,0,17 Oct 2150.00 (SPXW1711V2150-E),0.05,0.0,0.0,0.05,0,191,
17 Oct 2190.00 (SPXW1711J2190),0.0,0.0,354.50,363.40,0,0,17 Oct 2190.00 (SPXW1711V2190),0.10,0.0,0.0,0.05,0,1832,
17 Oct 2190.00 (SPXW1711J2190-E),0.0,0.0,354.50,363.40,0,0,17 Oct 2190.00 (SPXW1711V2190-E),0.10,0.0,0.0,0.05,0,1832,
17 Oct 2200.00 (SPXW1711J2200),0.0,0.0,344.50,353.40,0,0,17 Oct 2200.00 (SPXW1711V2200),0.03,0.0,0.0,0.05,0,6574,
17 Oct 2200.00 (SPXW1711J2200-E),0.0,0.0,344.50,353.40,0,0,17 Oct 2200.00 (SPXW1711V2200-E),0.03,0.0,0.0,0.05,0,6574,
17 Oct 2210.00 (SPXW1711J2210),0.0,0.0,334.50,343.40,0,0,17 Oct 2210.00 (SPXW1711V2210),0.05,0.0,0.0,0.05,0,33,
17 Oct 2210.00 (SPXW1711J2210-E),0.0,0.0,334.50,343.40,0,0,17 Oct 2210.00 (SPXW1711V2210-E),0.05,0.0,0.0,0.05,0,33,
17 Oct 2220.00 (SPXW1711J2220),244.30,0.0,324.50,333.40,0,1,17 Oct 2220.00 (SPXW1711V2220),0.08,0.0,0.0,0.05,0,127,
17 Oct 2220.00 (SPXW1711J2220-E),244.30,0.0,324.50,333.40,0,1,17 Oct 2220.00 (SPXW1711V2220-E),0.08,0.0,0.0,0.05,0,127,
17 Oct 2225.00 (SPXW1711J2225),0.0,0.0,319.50,328.60,0,0,17 Oct 2225.00 (SPXW1711V2225),0.10,0.0,0.0,0.05,0,122,
17 Oct 2225.00 (SPXW1711J2225-E),0.0,0.0,319.50,328.60,0,0,17 Oct 2225.00 (SPXW1711V2225-E),0.10,0.0,0.0,0.05,0,122,
17 Oct 2230.00 (SPXW1711J2230),0.0,0.0,313.80,322.90,0,0,17 Oct 2230.00 (SPXW1711V2230),0.05,0.0,0.0,0.05,0,299,
17 Oct 2230.00 (SPXW1711J2230-E),0.0,0.0,313.80,322.90,0,0,17 Oct 2230.00 (SPXW1711V2230-E),0.05,0.0,0.0,0.05,0,299,
17 Oct 2240.00 (SPXW1711J2240),0.0,0.0,305.00,313.70,0,0,17 Oct 2240.00 (SPXW1711V2240),0.05,0.0,0.0,0.05,0,323,
17 Oct 2240.00 (SPXW1711J2240-E),0.0,0.0,305.00,313.70,0,0,17 Oct 2240.00 (SPXW1711V2240-E),0.05,0.0,0.0,0.05,0,323,
17 Oct 2250.00 (SPXW1711J2250),215.80,0.0,295.00,303.70,0,1,17 Oct 2250.00 (SPXW1711V2250),0.05,0.0,0.0,0.05,0,8690,
17 Oct 2250.00 (SPXW1711J2250-E),215.80,0.0,295.00,303.70,0,1,17 Oct 2250.00 (SPXW1711V2250-E),0.05,0.0,0.0,0.05,0,8690,
17 Oct 2255.00 (SPXW1711J2255),0.0,0.0,290.00,298.70,0,0,17 Oct 2255.00 (SPXW1711V2255),0.0,0.0,0.0,0.05,0,0,
17 Oct 2255.00 (SPXW1711J2255-E),0.0,0.0,290.00,298.70,0,0,17 Oct 2255.00 (SPXW1711V2255-E),0.0,0.0,0.0,0.05,0,0,
17 Oct 2260.00 (SPXW1711J2260),0.0,0.0,285.00,293.70,0,0,17 Oct 2260.00 (SPXW1711V2260),0.05,0.0,0.0,0.05,0,10,
17 Oct 2260.00 (SPXW1711J2260-E),0.0,0.0,285.00,293.70,0,0,17 Oct 2260.00 (SPXW1711V2260-E),0.05,0.0,0.0,0.05,0,10,
17 Oct 2265.00 (SPXW1711J2265),0.0,0.0,280.00,288.70,0,0,17 Oct 2265.00 (SPXW1711V2265),0.0,0.0,0.0,0.05,0,0,
17 Oct 2265.00 (SPXW1711J2265-E),0.0,0.0,280.00,288.70,0,0,17 Oct 2265.00 (SPXW1711V2265-E),0.0,0.0,0.0,0.05,0,0,
17 Oct 2270.00 (SPXW1711J2270),0.0,0.0,275.00,283.70,0,0,17 Oct 2270.00 (SPXW1711V2270),0.05,+0.04,0.0,0.05,1,208,
17 Oct 2270.00 (SPXW1711J2270-E),0.0,0.0,275.00,283.70,0,0,17 Oct 2270.00 (SPXW1711V2270-E),0.05,+0.04,0.0,0.05,1,208,
17 Oct 2275.00 (SPXW1711J2275),0.0,0.0,270.00,278.70,0,0,17 Oct 2275.00 (SPXW1711V2275),0.03,0.0,0.0,0.05,0,222,
17 Oct 2275.00 (SPXW1711J2275-E),0.0,0.0,270.00,278.70,0,0,17 Oct 2275.00 (SPXW1711V2275-E),0.03,0.0,0.0,0.05,0,222,
17 Oct 2280.00 (SPXW1711J2280),0.0,0.0,265.00,273.70,0,0,17 Oct 2280.00 (SPXW1711V2280),0.40,0.0,0.0,0.05,0,112,
17 Oct 2280.00 (SPXW1711J2280-E),0.0,0.0,265.00,273.70,0,0,17 Oct 2280.00 (SPXW1711V2280-E),0.40,0.0,0.0,0.05,0,112,
17 Oct 2285.00 (SPXW1711J2285),0.0,0.0,260.00,268.70,0,0,17 Oct 2285.00 (SPXW1711V2285),0.20,0.0,0.0,0.05,0,767,
17 Oct 2285.00 (SPXW1711J2285-E),0.0,0.0,260.00,268.70,0,0,17 Oct 2285.00 (SPXW1711V2285-E),0.20,0.0,0.0,0.05,0,767,
17 Oct 2290.00 (SPXW1711J2290),0.0,0.0,255.00,263.70,0,0,17 Oct 2290.00 (SPXW1711V2290),0.05,0.0,0.0,0.05,0,851,
17 Oct 2290.00 (SPXW1711J2290-E),0.0,0.0,255.00,263.70,0,0,17 Oct 2290.00 (SPXW1711V2290-E),0.05,0.0,0.0,0.05,0,851,
17 Oct 2295.00 (SPXW1711J2295),0.0,0.0,250.00,258.70,0,0,17 Oct 2295.00 (SPXW1711V2295),0.0,0.0,0.0,0.05,0,0,
17 Oct 2295.00 (SPXW1711J2295-E),0.0,0.0,250.00,258.70,0,0,17 Oct 2295.00 (SPXW1711V2295-E),0.0,0.0,0.0,0.05,0,0,
17 Oct 2300.00 (SPXW1711J2300),0.0,0.0,245.00,253.70,0,0,17 Oct 2300.00 (SPXW1711V2300),0.05,0.0,0.0,0.05,0,794,
17 Oct 2300.00 (SPXW1711J2300-E),0.0,0.0,245.00,253.70,0,0,17 Oct 2300.00 (SPXW1711V2300-E),0.05,0.0,0.0,0.05,0,794,
17 Oct 2305.00 (SPXW1711J2305),0.0,0.0,240.00,248.70,0,0,17 Oct 2305.00 (SPXW1711V2305),0.05,0.0,0.0,0.05,0,240,
17 Oct 2305.00 (SPXW1711J2305-E),0.0,0.0,240.00,248.70,0,0,17 Oct 2305.00 (SPXW1711V2305-E),0.05,0.0,0.0,0.05,0,240,
17 Oct 2310.00 (SPXW1711J2310),0.0,0.0,235.00,243.70,0,0,17 Oct 2310.00 (SPXW1711V2310),0.45,0.0,0.0,0.05,0,689,
17 Oct 2310.00 (SPXW1711J2310-E),0.0,0.0,235.00,243.70,0,0,17 Oct 2310.00 (SPXW1711V2310-E),0.45,0.0,0.0,0.05,0,689,
17 Oct 2315.00 (SPXW1711J2315),0.0,0.0,230.00,238.70,0,0,17 Oct 2315.00 (SPXW1711V2315),0.25,0.0,0.0,0.05,0,259,
17 Oct 2315.00 (SPXW1711J2315-E),0.0,0.0,230.00,238.70,0,0,17 Oct 2315.00 (SPXW1711V2315-E),0.25,0.0,0.0,0.05,0,259,
17 Oct 2320.00 (SPXW1711J2320),228.53,0.0,225.00,233.70,0,1,17 Oct 2320.00 (SPXW1711V2320),0.05,0.0,0.0,0.05,0,686,
17 Oct 2320.00 (SPXW1711J2320-E),228.53,0.0,225.00,233.70,0,1,17 Oct 2320.00 (SPXW1711V2320-E),0.05,0.0,0.0,0.05,0,686,
17 Oct 2325.00 (SPXW1711J2325),223.48,0.0,220.00,228.70,0,1,17 Oct 2325.00 (SPXW1711V2325),0.05,0.0,0.0,0.05,0,398,
17 Oct 2325.00 (SPXW1711J2325-E),223.48,0.0,220.00,228.70,0,1,17 Oct 2325.00 (SPXW1711V2325-E),0.05,0.0,0.0,0.05,0,398,
17 Oct 2330.00 (SPXW1711J2330),0.0,0.0,215.00,223.70,0,0,17 Oct 2330.00 (SPXW1711V2330),0.05,0.0,0.0,0.05,0,216,
17 Oct 2330.00 (SPXW1711J2330-E),0.0,0.0,215.00,223.70,0,0,17 Oct 2330.00 (SPXW1711V2330-E),0.05,0.0,0.0,0.05,0,216,
17 Oct 2335.00 (SPXW1711J2335),0.0,0.0,209.80,218.70,0,0,17 Oct 2335.00 (SPXW1711V2335),0.10,0.0,0.0,0.05,0,191,
17 Oct 2335.00 (SPXW1711J2335-E),0.0,0.0,209.80,218.70,0,0,17 Oct 2335.00 (SPXW1711V2335-E),0.10,0.0,0.0,0.05,0,191,
17 Oct 2340.00 (SPXW1711J2340),0.0,0.0,204.80,213.70,0,0,17 Oct 2340.00 (SPXW1711V2340),0.05,0.0,0.0,0.05,0,1423,
17 Oct 2340.00 (SPXW1711J2340-E),0.0,0.0,204.80,213.70,0,0,17 Oct 2340.00 (SPXW1711V2340-E),0.05,0.0,0.0,0.05,0,1423,
17 Oct 2345.00 (SPXW1711J2345),0.0,0.0,199.80,208.70,0,0,17 Oct 2345.00 (SPXW1711V2345),0.03,0.0,0.0,0.05,0,39,
17 Oct 2345.00 (SPXW1711J2345-E),0.0,0.0,199.80,208.70,0,0,17 Oct 2345.00 (SPXW1711V2345-E),0.03,0.0,0.0,0.05,0,39,
17 Oct 2350.00 (SPXW1711J2350),0.0,0.0,194.80,203.90,0,0,17 Oct 2350.00 (SPXW1711V2350),0.05,0.0,0.0,0.05,0,4647,
17 Oct 2350.00 (SPXW1711J2350-E),0.0,0.0,194.80,203.90,0,0,17 Oct 2350.00 (SPXW1711V2350-E),0.05,0.0,0.0,0.05,0,4647,
17 Oct 2355.00 (SPXW1711J2355),0.0,0.0,189.80,198.90,0,0,17 Oct 2355.00 (SPXW1711V2355),0.05,0.0,0.0,0.05,0,6058,
17 Oct 2355.00 (SPXW1711J2355-E),0.0,0.0,189.80,198.90,0,0,17 Oct 2355.00 (SPXW1711V2355-E),0.05,0.0,0.0,0.05,0,6058,
17 Oct 2360.00 (SPXW1711J2360),113.11,0.0,184.80,193.90,0,5,17 Oct 2360.00 (SPXW1711V2360),0.10,0.0,0.0,0.05,0,5359,
17 Oct 2360.00 (SPXW1711J2360-E),113.11,0.0,184.80,193.90,0,5,17 Oct 2360.00 (SPXW1711V2360-E),0.10,0.0,0.0,0.05,0,5359,
17 Oct 2365.00 (SPXW1711J2365),0.0,0.0,179.80,188.90,0,0,17 Oct 2365.00 (SPXW1711V2365),0.02,0.0,0.0,0.05,0,104,
17 Oct 2365.00 (SPXW1711J2365-E),0.0,0.0,179.80,188.90,0,0,17 Oct 2365.00 (SPXW1711V2365-E),0.02,0.0,0.0,0.05,0,104,
17 Oct 2370.00 (SPXW1711J2370),0.0,0.0,174.80,183.90,0,0,17 Oct 2370.00 (SPXW1711V2370),0.10,0.0,0.0,0.05,0,1877,
17 Oct 2370.00 (SPXW1711J2370-E),0.0,0.0,174.80,183.90,0,0,17 Oct 2370.00 (SPXW1711V2370-E),0.10,0.0,0.0,0.05,0,1877,
17 Oct 2375.00 (SPXW1711J2375),124.30,0.0,169.80,178.90,0,4,17 Oct 2375.00 (SPXW1711V2375),0.08,0.0,0.0,0.05,0,1003,
17 Oct 2375.00 (SPXW1711J2375-E),124.30,0.0,169.80,178.90,0,4,17 Oct 2375.00 (SPXW1711V2375-E),0.08,0.0,0.0,0.05,0,1003,
