SPX (S&P 500 INDEX),2781.01,-25.82,
Nov 10 2018 @ 17:30 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Nov 09 800.00 (SPXW1809K800),1992.90,0.0,1971.40,1992.80,0,20,2018 Nov 09 800.00 (SPXW1809W800),0.0,0.0,0.0,0.05,0,0,
2018 Nov 09 800.00 (SPXW1809K800-E),1992.90,0.0,1971.40,1992.80, ,20,2018 Nov 09 800.00 (SPXW1809W800-E),0.0,0.0,0.0,0.05, ,0,
2018 Nov 09 900.00 (SPXW1809K900),0.0,0.0,1871.40,1892.80,0,0,2018 Nov 09 900.00 (SPXW1809W900),0.0,0.0,0.0,0.05,0,0,
2018 Nov 09 900.00 (SPXW1809K900-E),0.0,0.0,1871.40,1892.80, ,0,2018 Nov 09 900.00 (SPXW1809W900-E),0.0,0.0,0.0,0.05, ,0,
2018 Nov 09 1000.00 (SPXW1809K1000),1811.77,0.0,1771.40,1792.80,0,3,2018 Nov 09 1000.00 (SPXW1809W1000),0.10,0.0,0.0,0.05,0,8456,
2018 Nov 09 1000.00 (SPXW1809K1000-E),1811.77,0.0,1771.40,1792.80, ,3,2018 Nov 09 1000.00 (SPXW1809W1000-E),0.10,0.0,0.0,0.05, ,8456,
2018 Nov 09 1100.00 (SPXW1809K1100),0.0,0.0,1671.40,1692.80,0,0,2018 Nov 09 1100.00 (SPXW1809W1100),0.10,0.0,0.0,0.05,0,52,
2018 Nov 09 1100.00 (SPXW1809K1100-E),0.0,0.0,1671.40,1692.80, ,0,2018 Nov 09 1100.00 (SPXW1809W1100-E),0.10,0.0,0.0,0.05, ,52,
2018 Nov 09 1150.00 (SPXW1809K1150),0.0,0.0,1621.40,1642.80,0,0,2018 Nov 09 1150.00 (SPXW1809W1150),0.10,0.0,0.0,0.05,0,71,
2018 Nov 09 1150.00 (SPXW1809K1150-E),0.0,0.0,1621.40,1642.80, ,0,2018 Nov 09 1150.00 (SPXW1809W1150-E),0.10,0.0,0.0,0.05, ,71,
2018 Nov 09 1200.00 (SPXW1809K1200),0.0,0.0,1571.40,1592.80,0,0,2018 Nov 09 1200.00 (SPXW1809W1200),0.10,0.0,0.0,0.05,0,448,
2018 Nov 09 1200.00 (SPXW1809K1200-E),0.0,0.0,1571.40,1592.80, ,0,2018 Nov 09 1200.00 (SPXW1809W1200-E),0.10,0.0,0.0,0.05, ,448,
2018 Nov 09 1250.00 (SPXW1809K1250),0.0,0.0,1521.40,1542.80,0,0,2018 Nov 09 1250.00 (SPXW1809W1250),0.10,0.0,0.0,0.05,0,7553,
2018 Nov 09 1250.00 (SPXW1809K1250-E),0.0,0.0,1521.40,1542.80, ,0,2018 Nov 09 1250.00 (SPXW1809W1250-E),0.10,0.0,0.0,0.05, ,7553,
2018 Nov 09 1300.00 (SPXW1809K1300),0.0,0.0,1471.40,1492.60,0,0,2018 Nov 09 1300.00 (SPXW1809W1300),0.10,0.0,0.0,0.05,0,25220,
2018 Nov 09 1300.00 (SPXW1809K1300-E),0.0,0.0,1471.40,1492.60, ,0,2018 Nov 09 1300.00 (SPXW1809W1300-E),0.10,0.0,0.0,0.05, ,25220,
2018 Nov 09 1350.00 (SPXW1809K1350),0.0,0.0,1421.40,1442.80,0,0,2018 Nov 09 1350.00 (SPXW1809W1350),0.10,0.0,0.0,0.05,0,6961,
2018 Nov 09 1350.00 (SPXW1809K1350-E),0.0,0.0,1421.40,1442.80, ,0,2018 Nov 09 1350.00 (SPXW1809W1350-E),0.10,0.0,0.0,0.05, ,6961,
2018 Nov 09 1400.00 (SPXW1809K1400),0.0,0.0,1371.40,1392.60,0,0,2018 Nov 09 1400.00 (SPXW1809W1400),0.10,0.0,0.0,0.05,0,21948,
2018 Nov 09 1400.00 (SPXW1809K1400-E),0.0,0.0,1371.40,1392.60, ,0,2018 Nov 09 1400.00 (SPXW1809W1400-E),0.10,0.0,0.0,0.05, ,21948,
2018 Nov 09 1450.00 (SPXW1809K1450),0.0,0.0,1321.40,1342.80,0,0,2018 Nov 09 1450.00 (SPXW1809W1450),0.05,0.0,0.0,0.05,0,4932,
2018 Nov 09 1450.00 (SPXW1809K1450-E),0.0,0.0,1321.40,1342.80, ,0,2018 Nov 09 1450.00 (SPXW1809W1450-E),0.05,0.0,0.0,0.05, ,4932,
2018 Nov 09 1500.00 (SPXW1809K1500),0.0,0.0,1271.40,1292.60,0,0,2018 Nov 09 1500.00 (SPXW1809W1500),0.05,0.0,0.0,0.05,0,430,
2018 Nov 09 1500.00 (SPXW1809K1500-E),0.0,0.0,1271.40,1292.60, ,0,2018 Nov 09 1500.00 (SPXW1809W1500-E),0.05,0.0,0.0,0.05, ,430,
2018 Nov 09 1550.00 (SPXW1809K1550),0.0,0.0,1221.40,1242.80,0,0,2018 Nov 09 1550.00 (SPXW1809W1550),0.10,0.0,0.0,0.05,0,11500,
2018 Nov 09 1550.00 (SPXW1809K1550-E),0.0,0.0,1221.40,1242.80, ,0,2018 Nov 09 1550.00 (SPXW1809W1550-E),0.10,0.0,0.0,0.05, ,11500,
2018 Nov 09 1600.00 (SPXW1809K1600),0.0,0.0,1171.40,1192.60,0,0,2018 Nov 09 1600.00 (SPXW1809W1600),0.05,0.0,0.0,0.05,0,7078,
2018 Nov 09 1600.00 (SPXW1809K1600-E),0.0,0.0,1171.40,1192.60, ,0,2018 Nov 09 1600.00 (SPXW1809W1600-E),0.05,0.0,0.0,0.05, ,7078,
2018 Nov 09 1650.00 (SPXW1809K1650),0.0,0.0,1121.40,1142.80,0,0,2018 Nov 09 1650.00 (SPXW1809W1650),0.05,0.0,0.0,0.05,0,1190,
2018 Nov 09 1650.00 (SPXW1809K1650-E),0.0,0.0,1121.40,1142.80, ,0,2018 Nov 09 1650.00 (SPXW1809W1650-E),0.05,0.0,0.0,0.05, ,1190,
2018 Nov 09 1700.00 (SPXW1809K1700),0.0,0.0,1071.40,1092.60,0,0,2018 Nov 09 1700.00 (SPXW1809W1700),0.05,0.0,0.0,0.05,0,1136,
2018 Nov 09 1700.00 (SPXW1809K1700-E),0.0,0.0,1071.40,1092.60, ,0,2018 Nov 09 1700.00 (SPXW1809W1700-E),0.05,0.0,0.0,0.05, ,1136,
2018 Nov 09 1750.00 (SPXW1809K1750),0.0,0.0,1021.40,1042.60,0,0,2018 Nov 09 1750.00 (SPXW1809W1750),0.05,0.0,0.0,0.05,0,1396,
2018 Nov 09 1750.00 (SPXW1809K1750-E),0.0,0.0,1021.40,1042.60, ,0,2018 Nov 09 1750.00 (SPXW1809W1750-E),0.05,0.0,0.0,0.05, ,1396,
2018 Nov 09 1800.00 (SPXW1809K1800),0.0,0.0,971.40,992.60,0,0,2018 Nov 09 1800.00 (SPXW1809W1800),0.05,0.0,0.0,0.05,0,4923,
2018 Nov 09 1800.00 (SPXW1809K1800-E),0.0,0.0,971.40,992.60, ,0,2018 Nov 09 1800.00 (SPXW1809W1800-E),0.05,0.0,0.0,0.05, ,4923,
2018 Nov 09 1850.00 (SPXW1809K1850),0.0,0.0,921.40,942.60,0,0,2018 Nov 09 1850.00 (SPXW1809W1850),0.05,0.0,0.0,0.05,0,16246,
2018 Nov 09 1850.00 (SPXW1809K1850-E),0.0,0.0,921.40,942.60, ,0,2018 Nov 09 1850.00 (SPXW1809W1850-E),0.05,0.0,0.0,0.05, ,16246,
2018 Nov 09 1900.00 (SPXW1809K1900),826.50,0.0,871.40,892.60,0,4,2018 Nov 09 1900.00 (SPXW1809W1900),0.05,0.0,0.0,0.05,0,12715,
2018 Nov 09 1900.00 (SPXW1809K1900-E),826.50,0.0,871.40,892.60, ,4,2018 Nov 09 1900.00 (SPXW1809W1900-E),0.05,0.0,0.0,0.05, ,12715,
2018 Nov 09 1950.00 (SPXW1809K1950),777.00,0.0,821.40,842.60,0,0,2018 Nov 09 1950.00 (SPXW1809W1950),0.10,0.0,0.0,0.05,0,13250,
2018 Nov 09 1950.00 (SPXW1809K1950-E),777.00,0.0,821.40,842.60, ,0,2018 Nov 09 1950.00 (SPXW1809W1950-E),0.10,0.0,0.0,0.05, ,13250,
2018 Nov 09 2000.00 (SPXW1809K2000),0.0,0.0,771.40,792.60,0,0,2018 Nov 09 2000.00 (SPXW1809W2000),0.05,0.0,0.0,0.05,0,7482,
2018 Nov 09 2000.00 (SPXW1809K2000-E),0.0,0.0,771.40,792.60, ,0,2018 Nov 09 2000.00 (SPXW1809W2000-E),0.05,0.0,0.0,0.05, ,7482,
2018 Nov 09 2025.00 (SPXW1809K2025),0.0,0.0,746.40,767.80,0,0,2018 Nov 09 2025.00 (SPXW1809W2025),0.05,0.0,0.0,0.05,0,295,
2018 Nov 09 2025.00 (SPXW1809K2025-E),0.0,0.0,746.40,767.80, ,0,2018 Nov 09 2025.00 (SPXW1809W2025-E),0.05,0.0,0.0,0.05, ,295,
2018 Nov 09 2050.00 (SPXW1809K2050),0.0,0.0,721.40,742.60,0,0,2018 Nov 09 2050.00 (SPXW1809W2050),0.05,0.0,0.0,0.05,0,900,
2018 Nov 09 2050.00 (SPXW1809K2050-E),0.0,0.0,721.40,742.60, ,0,2018 Nov 09 2050.00 (SPXW1809W2050-E),0.05,0.0,0.0,0.05, ,900,
2018 Nov 09 2075.00 (SPXW1809K2075),0.0,0.0,696.40,717.80,0,0,2018 Nov 09 2075.00 (SPXW1809W2075),0.05,0.0,0.0,0.05,0,627,
2018 Nov 09 2075.00 (SPXW1809K2075-E),0.0,0.0,696.40,717.80, ,0,2018 Nov 09 2075.00 (SPXW1809W2075-E),0.05,0.0,0.0,0.05, ,627,
2018 Nov 09 2100.00 (SPXW1809K2100),0.0,0.0,671.40,692.60,0,0,2018 Nov 09 2100.00 (SPXW1809W2100),0.04,0.0,0.0,0.05,0,2668,
2018 Nov 09 2100.00 (SPXW1809K2100-E),0.0,0.0,671.40,692.60, ,0,2018 Nov 09 2100.00 (SPXW1809W2100-E),0.04,0.0,0.0,0.05, ,2668,
2018 Nov 09 2120.00 (SPXW1809K2120),0.0,0.0,651.40,672.80,0,0,2018 Nov 09 2120.00 (SPXW1809W2120),0.0,0.0,0.0,0.05,0,0,
2018 Nov 09 2120.00 (SPXW1809K2120-E),0.0,0.0,651.40,672.80, ,0,2018 Nov 09 2120.00 (SPXW1809W2120-E),0.0,0.0,0.0,0.05, ,0,
2018 Nov 09 2125.00 (SPXW1809K2125),0.0,0.0,646.40,667.80,0,0,2018 Nov 09 2125.00 (SPXW1809W2125),0.05,0.0,0.0,0.05,0,1767,
2018 Nov 09 2125.00 (SPXW1809K2125-E),0.0,0.0,646.40,667.80, ,0,2018 Nov 09 2125.00 (SPXW1809W2125-E),0.05,0.0,0.0,0.05, ,1767,
2018 Nov 09 2130.00 (SPXW1809K2130),0.0,0.0,641.40,662.80,0,0,2018 Nov 09 2130.00 (SPXW1809W2130),0.15,0.0,0.0,0.05,0,304,
2018 Nov 09 2130.00 (SPXW1809K2130-E),0.0,0.0,641.40,662.80, ,0,2018 Nov 09 2130.00 (SPXW1809W2130-E),0.15,0.0,0.0,0.05, ,304,
2018 Nov 09 2140.00 (SPXW1809K2140),0.0,0.0,631.40,652.80,0,0,2018 Nov 09 2140.00 (SPXW1809W2140),0.15,0.0,0.0,0.05,0,600,
2018 Nov 09 2140.00 (SPXW1809K2140-E),0.0,0.0,631.40,652.80, ,0,2018 Nov 09 2140.00 (SPXW1809W2140-E),0.15,0.0,0.0,0.05, ,600,
2018 Nov 09 2150.00 (SPXW1809K2150),0.0,0.0,621.40,642.60,0,0,2018 Nov 09 2150.00 (SPXW1809W2150),0.05,0.0,0.0,0.05,0,5094,
2018 Nov 09 2150.00 (SPXW1809K2150-E),0.0,0.0,621.40,642.60, ,0,2018 Nov 09 2150.00 (SPXW1809W2150-E),0.05,0.0,0.0,0.05, ,5094,
2018 Nov 09 2160.00 (SPXW1809K2160),0.0,0.0,611.40,632.80,0,0,2018 Nov 09 2160.00 (SPXW1809W2160),0.15,0.0,0.0,0.05,0,525,
2018 Nov 09 2160.00 (SPXW1809K2160-E),0.0,0.0,611.40,632.80, ,0,2018 Nov 09 2160.00 (SPXW1809W2160-E),0.15,0.0,0.0,0.05, ,525,
2018 Nov 09 2170.00 (SPXW1809K2170),0.0,0.0,601.40,623.10,0,0,2018 Nov 09 2170.00 (SPXW1809W2170),0.15,0.0,0.0,0.05,0,105,
2018 Nov 09 2170.00 (SPXW1809K2170-E),0.0,0.0,601.40,623.10, ,0,2018 Nov 09 2170.00 (SPXW1809W2170-E),0.15,0.0,0.0,0.05, ,105,
2018 Nov 09 2175.00 (SPXW1809K2175),0.0,0.0,596.40,617.60,0,0,2018 Nov 09 2175.00 (SPXW1809W2175),0.05,0.0,0.0,0.05,0,1471,
2018 Nov 09 2175.00 (SPXW1809K2175-E),0.0,0.0,596.40,617.60, ,0,2018 Nov 09 2175.00 (SPXW1809W2175-E),0.05,0.0,0.0,0.05, ,1471,
2018 Nov 09 2180.00 (SPXW1809K2180),0.0,0.0,591.40,613.10,0,0,2018 Nov 09 2180.00 (SPXW1809W2180),0.15,0.0,0.0,0.05,0,109,
2018 Nov 09 2180.00 (SPXW1809K2180-E),0.0,0.0,591.40,613.10, ,0,2018 Nov 09 2180.00 (SPXW1809W2180-E),0.15,0.0,0.0,0.05, ,109,
2018 Nov 09 2190.00 (SPXW1809K2190),0.0,0.0,581.40,602.80,0,0,2018 Nov 09 2190.00 (SPXW1809W2190),0.15,0.0,0.0,0.05,0,208,
2018 Nov 09 2190.00 (SPXW1809K2190-E),0.0,0.0,581.40,602.80, ,0,2018 Nov 09 2190.00 (SPXW1809W2190-E),0.15,0.0,0.0,0.05, ,208,
